@relation TRAINING

@attribute BBU numeric
@attribute BBM numeric
@attribute BBL numeric
@attribute RSI numeric
@attribute 'RSI EXTREME SCALED' numeric
@attribute CCI numeric
@attribute 'CCI CHANNEL BREAK SCALED' numeric
@attribute MACDIndicator numeric
@attribute Prediction {down,up,no}

@data
1.07857,1.07857,1.07857,0,-2,0,0,0,up
1.078972,1.078685,1.078397,0,0,66.666667,0,0,up
1.079114,1.07876,1.078406,0,0,92.391304,0,0,down
1.079335,1.078847,1.07836,0,0,120.187793,0,0,down
1.079409,1.0789,1.078391,0,0,97.902098,0,0,down
1.079439,1.078935,1.078431,0,0,75.675676,0,0,down
1.079404,1.078937,1.07847,77.142857,0,20.664207,0,0,down
1.079413,1.078895,1.078377,51.428571,0,-80.213904,0,0,up
1.079443,1.078847,1.07825,45.378151,0,-135.082873,0,0,up
1.079446,1.078807,1.078168,45,0,-119.866444,0,0,up
1.079418,1.078785,1.078153,50,0,-84.403259,0,0,up
1.079392,1.078787,1.078181,57.419355,0,-23.111964,0,0,up
1.079395,1.078801,1.078206,61.627907,0,42.23892,0,0,down
1.079393,1.078811,1.07823,60.91954,0,51.870748,0,0,down
1.079386,1.078819,1.078253,60.227273,0,44.989443,0,0,down
1.07938,1.078827,1.078274,60.451977,0,38.756497,0,0.000003,down
1.079376,1.078834,1.078293,60.674157,0,44.690995,0,0.000006,down
1.079371,1.078841,1.07831,54.83871,0,43.361098,0,0.000009,down
1.079359,1.078842,1.078326,48.684211,0,23.183101,0,0.000012,down
1.079345,1.078842,1.078339,40,0,9.369369,0,0.000014,down
1.079335,1.078857,1.078378,40.875912,0,7.896626,0,0.000016,down
1.079338,1.07886,1.078382,41.304348,0,8.511825,0,0.000017,down
1.079334,1.078858,1.078381,46.341463,0,4.722028,0,0.000018,down
1.079298,1.078844,1.07839,63.333333,0,-21.212121,0,0.000018,down
1.079258,1.07883,1.078402,74.025974,0,-7.996702,0,0.000018,down
1.07921,1.078814,1.078417,70.37037,0,-16.818125,0,0.000016,down
1.079194,1.078803,1.078412,61.643836,0,-32.9541,0,0.000014,down
1.079185,1.078811,1.078437,46.153846,0,-36.573399,0,0.000011,down
1.079166,1.078815,1.078465,12.5,-2,-100.528634,0,0.000007,up
1.079139,1.078821,1.078503,14.545455,-2,-139.781733,0,0.000001,down
1.079139,1.078821,1.078503,16.666667,-1,-143.120528,0,-0.000004,down
1.079163,1.078807,1.078452,14.035088,-2,-166.996292,-2,-0.000011,up
1.07915,1.078788,1.078427,20.967742,0,-137.203166,0,-0.000016,down
1.079136,1.07877,1.078404,20.634921,0,-104.318235,0,-0.000022,down
1.079125,1.07875,1.078376,22.033898,0,-119.462938,0,-0.000027,down
1.079104,1.078731,1.078358,24.561404,0,-97.078096,0,-0.000031,down
1.079074,1.078711,1.078348,21.818182,0,-61.13078,0,-0.000035,up
1.079041,1.078689,1.078337,18.965517,-1,-86.233516,0,-0.000039,up
1.079015,1.078674,1.078333,26.984127,0,-59.604425,0,-0.000042,down
1.078994,1.078658,1.078323,26.153846,0,-71.688703,0,-0.000045,up
1.078964,1.078642,1.07832,26.5625,0,-66.800731,0,-0.000047,up
1.078923,1.078628,1.078332,34.375,0,-32.179607,0,-0.000048,up
1.078878,1.078612,1.078345,34.375,0,-56.85654,0,-0.000049,up
1.078831,1.078596,1.078362,32.258065,0,-54.64684,0,-0.00005,up
1.078785,1.078588,1.078391,60.377358,0,17.723373,0,-0.000049,down
1.078753,1.078582,1.078412,60.377358,0,83.018868,0,-0.000047,down
1.078725,1.078577,1.078429,55.357143,0,74.103237,0,-0.000045,down
1.07868,1.078571,1.078461,59.615385,0,75.553286,0,-0.000043,down
1.07868,1.078571,1.078461,46.296296,0,32.123488,0,-0.000041,down
1.078695,1.078564,1.078434,39.0625,0,-173.052464,-2,-0.00004,up
1.078707,1.078558,1.078408,40.983607,0,-184.40335,-2,-0.000041,up
1.078717,1.078553,1.078388,40,0,-170.81761,-2,-0.000042,down
1.078722,1.078544,1.078366,39.344262,0,-150.924855,0,-0.000043,down
1.078718,1.07854,1.078362,49.230769,0,-96.905537,0,-0.000044,down
1.078718,1.078539,1.07836,45.901639,0,-33.84913,0,-0.000044,down
1.078716,1.078537,1.078358,48.275862,0,-33.581472,0,-0.000044,down
1.078766,1.078521,1.078276,32.55814,0,-223.313886,-2,-0.000045,up
1.078799,1.078507,1.078215,28.395062,0,-240.381992,-2,-0.000048,up
1.078796,1.078496,1.078197,40,0,-103.433021,0,-0.000051,up
1.078797,1.078488,1.078178,39.56044,0,-95.507682,0,-0.000053,no
1.078801,1.078476,1.078151,28.571429,0,-111.427687,0,-0.000055,up
1.07879,1.078464,1.078139,31.818182,0,-91.691307,0,-0.000057,no
1.078782,1.078458,1.078134,37.777778,0,-54.074074,0,-0.000058,down
1.078773,1.078453,1.078132,39.130435,0,-17.948718,0,-0.000057,down
1.078739,1.078437,1.078135,39.130435,0,-49.874451,0,-0.000057,no
1.078695,1.078421,1.078147,44.444444,0,-52.319892,0,-0.000057,up
1.078656,1.078407,1.078158,45,0,-62.521198,0,-0.000056,up
1.078607,1.078394,1.07818,45.679012,0,-53.365185,0,-0.000055,up
