@relation BEST-RESULT

@attribute BBU numeric
@attribute BBM numeric
@attribute BBL numeric
@attribute RSI numeric
@attribute 'RSI EXTREME SCALED' numeric
@attribute CCI numeric
@attribute 'CCI CHANNEL BREAK SCALED' numeric
@attribute MACDIndicator numeric
@attribute Prediction {up,down,no}

@data
1.0519,1.0519,1.0519,1,-2,0,0,0,up
1.051983,1.051845,1.051708,1,-2,1,0,0,up
1.051959,1.051823,1.051687,1,-2,0,0,0,up
1.052092,1.051867,1.051643,4,0,2,0,0,up
1.052158,1.0519,1.051642,4,0,2,0,0,up
1.052193,1.051923,1.051654,4,0,1,0,0,up
1.052236,1.051947,1.051658,4,0,2,0,0,up
1.05226,1.051965,1.05167,4,0,2,0,0,up
1.052274,1.051979,1.051684,4,0,1,0,0,down
1.052282,1.05199,1.051698,4,0,1,0,0,up
1.052302,1.052004,1.051705,4,0,1,0,0,down
1.052316,1.052015,1.051714,4,0,1,0,0,down
1.052318,1.052022,1.051726,4,0,1,0,0,down
1.052311,1.052025,1.051739,4,0,0,0,0,down
1.052316,1.052032,1.051748,4,0,1,0,0,down
1.052318,1.052037,1.051757,4,0,1,0,0.000006,down
1.052317,1.052042,1.051767,4,0,1,0,0.000012,down
1.052336,1.052027,1.051717,3,0,-2,0,0.000014,up
1.052349,1.052013,1.051677,3,0,-3,-1,0.000013,no
1.052349,1.052002,1.051655,2,0,-2,0,0.00001,up
1.052368,1.051994,1.051619,2,0,-2,0,0.000005,up
1.052372,1.051992,1.051612,2,0,-2,0,-0.000001,up
1.052366,1.051994,1.051623,2,0,-1,0,-0.000008,down
1.052376,1.051983,1.051589,2,0,-2,0,-0.000015,up
1.052373,1.051973,1.051573,2,0,-1,0,-0.000021,up
1.05237,1.051961,1.051551,2,0,-1,0,-0.000027,up
1.052357,1.051946,1.051535,2,0,-1,0,-0.000033,up
1.052343,1.05193,1.051517,2,0,-1,0,-0.000035,up
1.052323,1.051917,1.051511,2,0,0,0,-0.000036,up
1.0523,1.051906,1.051512,3,0,0,0,-0.000037,up
1.052284,1.051902,1.05152,3,0,0,0,-0.000035,down
1.052261,1.051897,1.051532,3,0,0,0,-0.000032,down
1.052254,1.051895,1.051536,3,0,1,0,-0.000028,down
1.052258,1.051896,1.051534,4,0,1,0,-0.000023,down
1.052243,1.051892,1.051542,4,0,1,0,-0.000018,down
1.052221,1.051888,1.051554,4,0,2,0,-0.000013,down
1.052184,1.051876,1.051568,3,0,0,0,-0.00001,down
1.052186,1.051883,1.051581,3,0,0,0,-0.000007,down
1.052185,1.051884,1.051584,3,0,0,0,-0.000007,down
1.052193,1.05188,1.051566,3,0,-1,0,-0.000008,down
1.052196,1.051878,1.051561,3,0,-2,0,-0.000011,down
1.0522,1.051876,1.051552,3,0,-1,0,-0.000014,down
1.052202,1.051878,1.051555,3,0,0,0,-0.000016,down
1.052207,1.051875,1.051544,3,0,-1,0,-0.000019,down
1.052225,1.051864,1.051503,3,0,-2,0,-0.000022,down
1.052234,1.051857,1.051481,3,0,-2,0,-0.000026,down
1.05224,1.051851,1.051462,2,0,-2,0,-0.00003,down
1.052256,1.051842,1.051427,2,0,-2,0,-0.000034,down
1.05227,1.051828,1.051386,2,0,-2,0,-0.000039,down
1.052281,1.051811,1.051341,2,0,-2,0,-0.000044,down
1.052268,1.05178,1.051292,2,0,-2,0,-0.000049,down
1.052245,1.051753,1.05126,2,0,-2,0,-0.000054,up
1.052219,1.051716,1.051212,2,0,-2,0,-0.00006,up
1.052179,1.051678,1.051176,2,0,-3,0,-0.000066,up
1.052126,1.051641,1.051156,2,0,-2,0,-0.000073,up
1.05207,1.051606,1.051142,2,0,-2,0,-0.000078,up
1.052026,1.051587,1.051148,3,0,-1,0,-0.000082,up
1.051963,1.051567,1.051172,3,0,0,0,-0.000084,up
1.051932,1.051556,1.051179,2,0,0,0,-0.000085,up
1.051916,1.051548,1.05118,3,0,0,0,-0.000084,up
1.051902,1.051543,1.051185,3,0,0,0,-0.000082,no
1.051893,1.051541,1.051189,3,0,1,0,-0.000078,down
1.051833,1.05153,1.051227,3,0,1,0,-0.000073,down
1.051848,1.051533,1.051218,4,0,2,0,-0.000067,down
1.051851,1.051534,1.051217,3,0,1,0,-0.000061,down
1.051844,1.051532,1.05122,3,0,1,0,-0.000056,down
1.051833,1.051529,1.051224,3,0,0,0,-0.000051,down
1.051828,1.051524,1.051221,3,0,0,0,-0.000048,down
1.051826,1.051523,1.05122,4,0,0,0,-0.000045,down
1.051825,1.051521,1.051217,4,0,0,0,-0.000043,no
1.051832,1.051529,1.051226,4,0,0,0,-0.00004,down
1.051835,1.051533,1.051231,4,0,0,0,-0.000038,down
1.051823,1.05154,1.051257,3,0,0,0,-0.000037,down
1.051804,1.05155,1.051296,3,0,0,0,-0.000036,down
1.051782,1.051558,1.051334,3,0,-1,0,-0.000035,down
1.051782,1.051558,1.051334,2,0,-3,0,-0.000036,down
1.051884,1.051537,1.051189,2,0,-4,-1,-0.00004,up
1.05202,1.051502,1.050983,2,0,-5,-1,-0.000047,up
1.052077,1.05147,1.050864,2,0,-4,-1,-0.000057,up
1.052098,1.051443,1.050789,2,0,-3,-1,-0.000066,up
1.05209,1.051417,1.050744,2,0,-2,0,-0.000074,up
1.05206,1.051397,1.050733,2,0,-1,0,-0.00008,down
1.052028,1.051372,1.050716,2,0,-1,0,-0.000084,down
1.051967,1.051343,1.05072,3,0,-1,0,-0.000087,down
1.051928,1.051324,1.050721,3,0,0,0,-0.000088,down
1.051886,1.051305,1.050723,3,0,0,0,-0.000088,down
1.051843,1.051286,1.050728,2,0,0,0,-0.000088,up
1.051817,1.051265,1.050714,2,0,0,0,-0.000087,down
1.05178,1.051244,1.050709,2,0,0,0,-0.000087,no
1.051747,1.051225,1.050704,2,0,-1,0,-0.000087,up
1.051679,1.051202,1.050725,2,0,0,0,-0.000086,up
1.051653,1.051197,1.050741,3,0,1,0,-0.000082,down
1.051606,1.051178,1.050749,3,0,0,0,-0.000079,up
1.051539,1.051157,1.050775,3,0,0,0,-0.000077,up
1.05149,1.051147,1.050805,4,0,1,0,-0.000074,down
1.051486,1.051146,1.050807,3,0,1,0,-0.00007,down
1.051508,1.051159,1.05081,3,0,1,0,-0.000065,down
1.051487,1.051184,1.05088,3,0,2,0,-0.000059,down
1.05146,1.051196,1.050932,3,0,1,0,-0.000055,down
1.051452,1.051199,1.050946,3,0,-1,0,-0.000053,down
1.051453,1.051207,1.050961,3,0,0,0,-0.00005,down
1.051457,1.051197,1.050936,3,0,-2,0,-0.000048,down
1.051465,1.051189,1.050914,3,0,-1,0,-0.000048,down
1.051518,1.05117,1.050822,3,0,-4,-1,-0.00005,up
1.051528,1.051152,1.050776,3,0,-4,-1,-0.000054,down
1.051542,1.051133,1.050725,3,0,-3,-1,-0.000057,down
1.051546,1.051116,1.050685,3,0,-3,-1,-0.000062,down
1.051561,1.051101,1.050642,2,0,-2,0,-0.000066,down
1.051568,1.051089,1.050609,3,0,-2,0,-0.00007,down
1.051576,1.051073,1.050571,2,0,-2,0,-0.000074,down
1.051586,1.051055,1.050523,2,0,-2,0,-0.000078,down
1.051518,1.05102,1.050523,2,0,-1,0,-0.000082,down
1.051523,1.051002,1.050481,2,0,-1,0,-0.000085,down
1.05152,1.050984,1.050447,2,0,-1,0,-0.000088,down
1.05148,1.050953,1.050426,2,0,-1,0,-0.000091,down
1.051628,1.050883,1.050138,1,-1,-4,-1,-0.0001,down
1.051896,1.05078,1.049665,1,-2,-5,-1,-0.000118,down
1.052138,1.050658,1.049179,1,-2,-5,-1,-0.000145,down
1.052248,1.05055,1.048853,1,-2,-4,-1,-0.000175,down
1.052509,1.050406,1.048303,1,-2,-4,-1,-0.000212,down
1.052693,1.050237,1.047781,1,-2,-4,-1,-0.000256,up
1.052799,1.05008,1.04736,1,-2,-3,-1,-0.000302,up
1.052874,1.04991,1.046947,1,-2,-2,0,-0.00035,up
1.052892,1.049759,1.046627,1,-2,-2,0,-0.000395,up
1.052831,1.049608,1.046386,1,-2,-2,0,-0.000435,up
1.052728,1.049462,1.046195,1,-2,-1,0,-0.00047,up
1.052575,1.049318,1.046061,1,-2,-1,0,-0.000499,up
1.052398,1.049171,1.045944,1,-2,-1,0,-0.000522,up
1.052158,1.049036,1.045913,1,-1,-1,0,-0.000539,up
1.05189,1.048895,1.045901,1,-1,-1,0,-0.00055,up
1.051593,1.048756,1.045919,1,-1,-1,0,-0.000557,up
1.051229,1.048617,1.046005,2,0,-1,0,-0.000559,up
1.050817,1.048476,1.046135,2,0,-1,0,-0.000559,up
1.050299,1.04835,1.0464,2,0,0,0,-0.000553,down
1.049636,1.048222,1.046808,2,0,0,0,-0.000544,up
1.049174,1.048137,1.0471,3,0,0,0,-0.000531,down
1.048883,1.048075,1.047268,3,0,0,0,-0.000517,up
1.048716,1.048043,1.047371,3,0,0,0,-0.000501,down
1.048393,1.048001,1.047609,4,0,1,0,-0.000483,up
1.048399,1.048002,1.047606,4,0,1,0,-0.000464,down
1.048413,1.048016,1.04762,3,0,1,0,-0.000444,up
1.048439,1.048034,1.047628,3,0,1,0,-0.000424,down
1.048417,1.048062,1.047708,3,0,2,0,-0.000404,down
1.048421,1.048088,1.047754,4,0,2,0,-0.000383,down
1.048415,1.048102,1.04779,3,0,1,0,-0.000363,up
1.048409,1.048115,1.047822,3,0,0,0,-0.000344,up
1.04841,1.048124,1.047838,3,0,0,0,-0.000325,up
1.048391,1.04814,1.047889,3,0,0,0,-0.000307,up
1.048406,1.048146,1.047886,4,0,1,0,-0.000289,up
1.048411,1.048158,1.047905,3,0,2,0,-0.000272,up
1.0484,1.048172,1.047943,3,0,1,0,-0.000255,up
1.048396,1.048185,1.047973,3,0,1,0,-0.000239,up
1.048371,1.048208,1.048045,4,0,4,1,-0.000223,up
1.048567,1.048234,1.047902,4,0,5,1,-0.000203,up
1.048751,1.048272,1.047792,5,1,5,1,-0.000181,down
1.048871,1.048304,1.047736,4,0,4,1,-0.000158,down
1.048946,1.048341,1.047736,4,0,3,1,-0.000136,down
1.04902,1.048369,1.047718,4,0,2,0,-0.000114,down
1.049088,1.048402,1.047717,4,0,2,0,-0.000093,no
