@relation LUTY-BES

@attribute BBU numeric
@attribute BBM numeric
@attribute BBL numeric
@attribute RSI numeric
@attribute 'RSI EXTREME SCALED' numeric
@attribute CCI numeric
@attribute 'CCI CHANNEL BREAK SCALED' numeric
@attribute MACDIndicator numeric
@attribute Prediction {up,down,no}

@data
1.07857,1.07857,1.07857,1,-2,0,0,0,up
1.078972,1.078685,1.078397,0,0,1,0,0,up
1.079114,1.07876,1.078406,0,0,1,0,0,down
1.079335,1.078847,1.07836,0,0,2,0,0,down
1.079409,1.0789,1.078391,0,0,1,0,0,down
1.079439,1.078935,1.078431,0,0,1,0,0,down
1.079404,1.078937,1.07847,4,0,0,0,0,down
1.079413,1.078895,1.078377,3,0,-1,0,0,up
1.079443,1.078847,1.07825,3,0,-2,0,0,up
1.079446,1.078807,1.078168,3,0,-2,0,0,up
1.079418,1.078785,1.078153,3,0,-1,0,0,up
1.079392,1.078787,1.078181,3,0,0,0,0,up
1.079395,1.078801,1.078206,4,0,0,0,0,down
1.079393,1.078811,1.07823,4,0,1,0,0,down
1.079386,1.078819,1.078253,4,0,0,0,0,down
1.07938,1.078827,1.078274,4,0,0,0,0.000003,down
1.079376,1.078834,1.078293,4,0,0,0,0.000006,down
1.079371,1.078841,1.07831,3,0,0,0,0.000009,down
1.079359,1.078842,1.078326,3,0,0,0,0.000012,down
1.079345,1.078842,1.078339,3,0,0,0,0.000014,down
1.079335,1.078857,1.078378,3,0,0,0,0.000016,down
1.079338,1.07886,1.078382,3,0,0,0,0.000017,down
1.079334,1.078858,1.078381,3,0,0,0,0.000018,down
1.079298,1.078844,1.07839,4,0,0,0,0.000018,down
1.079258,1.07883,1.078402,4,0,0,0,0.000018,down
1.07921,1.078814,1.078417,4,0,0,0,0.000016,down
1.079194,1.078803,1.078412,4,0,0,0,0.000014,down
1.079185,1.078811,1.078437,3,0,0,0,0.000011,down
1.079166,1.078815,1.078465,1,-2,-2,0,0.000007,up
1.079139,1.078821,1.078503,1,-2,-2,0,0.000001,down
1.079139,1.078821,1.078503,1,-1,-2,0,-0.000004,down
1.079163,1.078807,1.078452,1,-2,-3,-1,-0.000011,up
1.07915,1.078788,1.078427,2,0,-2,0,-0.000016,down
1.079136,1.07877,1.078404,2,0,-2,0,-0.000022,down
1.079125,1.07875,1.078376,2,0,-2,0,-0.000027,down
1.079104,1.078731,1.078358,2,0,-1,0,-0.000031,down
1.079074,1.078711,1.078348,2,0,-1,0,-0.000035,up
1.079041,1.078689,1.078337,1,-1,-1,0,-0.000039,up
1.079015,1.078674,1.078333,2,0,-1,0,-0.000042,down
1.078994,1.078658,1.078323,2,0,-1,0,-0.000045,up
1.078964,1.078642,1.07832,2,0,-1,0,-0.000047,up
1.078923,1.078628,1.078332,2,0,0,0,-0.000048,up
1.078878,1.078612,1.078345,2,0,-1,0,-0.000049,up
1.078831,1.078596,1.078362,2,0,-1,0,-0.00005,up
1.078785,1.078588,1.078391,4,0,0,0,-0.000049,down
1.078753,1.078582,1.078412,4,0,1,0,-0.000047,down
1.078725,1.078577,1.078429,3,0,1,0,-0.000045,down
1.07868,1.078571,1.078461,3,0,1,0,-0.000043,down
1.07868,1.078571,1.078461,3,0,0,0,-0.000041,down
1.078695,1.078564,1.078434,2,0,-3,-1,-0.00004,up
1.078707,1.078558,1.078408,3,0,-3,-1,-0.000041,up
1.078717,1.078553,1.078388,3,0,-3,-1,-0.000042,down
1.078722,1.078544,1.078366,2,0,-3,0,-0.000043,down
1.078718,1.07854,1.078362,3,0,-1,0,-0.000044,down
1.078718,1.078539,1.07836,3,0,0,0,-0.000044,down
1.078716,1.078537,1.078358,3,0,0,0,-0.000044,down
1.078766,1.078521,1.078276,2,0,-4,-1,-0.000045,up
1.078799,1.078507,1.078215,2,0,-4,-1,-0.000048,up
1.078796,1.078496,1.078197,3,0,-2,0,-0.000051,up
1.078797,1.078488,1.078178,2,0,-1,0,-0.000053,no
1.078801,1.078476,1.078151,2,0,-2,0,-0.000055,up
1.07879,1.078464,1.078139,2,0,-1,0,-0.000057,no
1.078782,1.078458,1.078134,2,0,-1,0,-0.000058,down
1.078773,1.078453,1.078132,2,0,0,0,-0.000057,down
1.078739,1.078437,1.078135,2,0,0,0,-0.000057,no
1.078695,1.078421,1.078147,3,0,-1,0,-0.000057,up
1.078656,1.078407,1.078158,3,0,-1,0,-0.000056,up
1.078607,1.078394,1.07818,3,0,-1,0,-0.000055,up
1.07858,1.078386,1.078192,3,0,0,0,-0.000054,up
1.078574,1.078382,1.078189,3,0,0,0,-0.000052,up
1.07857,1.078379,1.078188,3,0,0,0,-0.000051,up
1.078668,1.078394,1.078121,3,0,4,1,-0.000046,down
1.078722,1.078407,1.078093,4,0,4,1,-0.00004,down
1.078748,1.078414,1.07808,4,0,3,0,-0.000033,down
1.078747,1.078413,1.07808,3,0,1,0,-0.000027,down
1.078742,1.078412,1.078081,3,0,0,0,-0.000023,up
1.07874,1.078424,1.078109,3,0,0,0,-0.000019,down
1.07873,1.078435,1.07814,3,0,0,0,-0.000016,down
1.078735,1.078442,1.078148,3,0,0,0,-0.000013,down
1.078736,1.078447,1.078158,3,0,0,0,-0.000011,down
1.078736,1.078458,1.07818,3,0,0,0,-0.000009,down
1.078734,1.078463,1.078192,3,0,0,0,-0.000007,down
1.078734,1.078464,1.078194,3,0,0,0,-0.000007,down
1.078735,1.078465,1.078195,3,0,0,0,-0.000006,down
1.078732,1.078468,1.078204,3,0,0,0,-0.000006,down
1.078731,1.078469,1.078206,3,0,-1,0,-0.000007,down
1.078755,1.078461,1.078167,3,0,-3,-1,-0.000009,up
1.078772,1.078454,1.078136,1,-1,-3,-1,-0.000013,down
1.078789,1.078445,1.0781,2,0,-3,-1,-0.000017,down
1.078796,1.078439,1.078083,2,0,-2,0,-0.000021,down
1.078808,1.078431,1.078054,2,0,-2,0,-0.000025,up
1.078754,1.078405,1.078056,2,0,-2,0,-0.000029,down
1.07871,1.078381,1.078052,2,0,-2,0,-0.000033,down
1.078669,1.078359,1.07805,2,0,-1,0,-0.000036,down
1.07865,1.078345,1.078041,2,0,-1,0,-0.000039,down
1.078635,1.078334,1.078034,2,0,-1,0,-0.000041,down
1.078634,1.078313,1.077992,1,-1,-2,0,-0.000044,down
1.078678,1.078285,1.077891,1,-1,-4,-1,-0.000049,up
1.078676,1.078256,1.077837,2,0,-3,-1,-0.000054,up
1.078657,1.078234,1.077811,2,0,-2,0,-0.00006,up
1.078612,1.07821,1.077807,2,0,-2,0,-0.000064,up
1.078578,1.078188,1.077799,2,0,-1,0,-0.000067,up
1.07854,1.078169,1.077798,2,0,-1,0,-0.00007,up
1.078487,1.078151,1.077815,3,0,-1,0,-0.000072,up
1.07849,1.078151,1.077813,3,0,1,0,-0.00007,down
1.078493,1.078152,1.077811,3,0,2,0,-0.000065,down
1.078544,1.078165,1.077786,4,0,3,0,-0.000059,down
1.078569,1.078173,1.077777,3,0,2,0,-0.000052,down
1.078567,1.078171,1.077775,3,0,0,0,-0.000047,down
1.07856,1.078167,1.077774,3,0,0,0,-0.000043,down
1.078555,1.078161,1.077768,3,0,0,0,-0.00004,up
1.078549,1.078156,1.077764,3,0,0,0,-0.000038,up
1.078545,1.078153,1.07776,3,0,0,0,-0.000036,up
1.07854,1.078146,1.077752,3,0,0,0,-0.000036,up
1.078531,1.078137,1.077744,3,0,-1,0,-0.000036,down
1.078527,1.078136,1.077745,3,0,0,0,-0.000035,down
1.078539,1.078145,1.077752,3,0,1,0,-0.000033,down
1.078526,1.078164,1.077801,3,0,1,0,-0.000031,down
1.078519,1.07818,1.07784,3,0,1,0,-0.000028,down
1.078516,1.078181,1.077846,3,0,0,0,-0.000027,up
1.078547,1.078172,1.077796,2,0,-3,-1,-0.000029,up
1.078563,1.078164,1.077766,2,0,-3,0,-0.000031,up
1.078563,1.078171,1.077779,2,0,0,0,-0.000033,up
1.07857,1.078178,1.077787,3,0,0,0,-0.000032,up
1.078536,1.078169,1.077802,3,0,0,0,-0.000031,down
1.078515,1.078163,1.077811,3,0,0,0,-0.000028,down
1.07846,1.07815,1.07784,3,0,0,0,-0.000026,up
1.078422,1.07814,1.077859,3,0,0,0,-0.000023,up
1.078453,1.07815,1.077846,3,0,2,0,-0.000019,down
1.078455,1.078151,1.077846,3,0,1,0,-0.000016,down
1.078455,1.078152,1.077849,3,0,0,0,-0.000014,down
1.078487,1.078164,1.077841,3,0,1,0,-0.000011,down
1.078511,1.078175,1.077839,3,0,2,0,-0.000007,down
1.07851,1.078176,1.077842,3,0,0,0,-0.000005,up
1.078518,1.078172,1.077825,3,0,-2,0,-0.000005,up
1.078513,1.078167,1.07782,3,0,0,0,-0.000005,down
1.078504,1.078159,1.077813,3,0,0,0,-0.000006,down
1.078499,1.078156,1.077812,3,0,0,0,-0.000007,down
1.078488,1.078148,1.077809,3,0,0,0,-0.000008,up
1.078488,1.078149,1.07781,3,0,-1,0,-0.000009,down
1.078453,1.078161,1.07787,3,0,0,0,-0.000011,up
1.078425,1.07817,1.077915,3,0,-1,0,-0.000012,up
1.078424,1.078169,1.077913,3,0,0,0,-0.000013,up
1.078417,1.078165,1.077913,3,0,0,0,-0.000013,down
1.078413,1.078156,1.077898,2,0,-1,0,-0.000014,up
1.078401,1.078149,1.077897,3,0,0,0,-0.000015,down
1.078396,1.078145,1.077895,3,0,0,0,-0.000015,down
1.078409,1.07815,1.07789,3,0,1,0,-0.000014,down
1.078371,1.078135,1.077899,3,0,-1,0,-0.000013,up
1.078365,1.078129,1.077894,3,0,-1,0,-0.000013,up
1.078365,1.078126,1.077887,3,0,0,0,-0.000013,up
1.078312,1.07811,1.077907,3,0,-2,0,-0.000014,up
1.078283,1.078105,1.077928,3,0,1,0,-0.000013,down
1.078316,1.078115,1.077914,3,0,4,1,-0.000011,down
1.078309,1.078125,1.077941,3,0,2,0,-0.000009,up
1.078339,1.078134,1.077928,3,0,2,0,-0.000007,down
1.078344,1.078139,1.077933,3,0,1,0,-0.000004,up
1.078346,1.07814,1.077933,3,0,1,0,-0.000002,up
1.078349,1.078142,1.077935,3,0,0,0,-0,up
1.078364,1.078153,1.077942,3,0,2,0,0.000002,down
1.078381,1.078162,1.077944,3,0,2,0,0.000004,up
1.078404,1.078176,1.077948,3,0,2,0,0.000007,no
1.078425,1.078185,1.077945,3,0,2,0,0.00001,down
1.078425,1.078185,1.077945,3,0,0,0,0.000012,up
1.078417,1.078191,1.077966,3,0,0,0,0.000013,down
1.078433,1.078202,1.07797,4,0,1,0,0.000014,down
1.078449,1.078212,1.077974,4,0,2,0,0.000016,down
1.078445,1.078209,1.077973,3,0,1,0,0.000017,down
1.078436,1.078216,1.077997,3,0,0,0,0.000018,down
1.07843,1.07822,1.078009,3,0,-1,0,0.000017,up
1.078443,1.078216,1.07799,3,0,-3,-1,0.000015,up
1.078435,1.078218,1.078002,2,0,-2,0,0.000012,up
1.078609,1.078183,1.077756,2,0,-5,-1,0.000004,up
1.078602,1.078169,1.077736,3,0,-3,-1,-0.000003,up
1.07861,1.078174,1.077738,3,0,0,0,-0.000006,up
1.078604,1.078171,1.077738,3,0,0,0,-0.000008,up
1.078619,1.078178,1.077737,3,0,1,0,-0.000008,up
1.07865,1.078189,1.077729,3,0,2,0,-0.000006,up
1.078679,1.078202,1.077726,3,0,2,0,-0.000002,up
1.078719,1.078215,1.07771,3,0,3,1,0.000004,up
1.078827,1.078239,1.077651,4,0,3,1,0.000012,down
1.078891,1.078256,1.077622,3,0,4,1,0.000022,down
1.078961,1.078277,1.077593,3,0,3,1,0.000032,down
1.079029,1.078305,1.077581,4,0,3,0,0.000042,down
1.079067,1.078328,1.077588,3,0,2,0,0.000051,down
1.079075,1.078334,1.077592,3,0,1,0,0.000057,up
1.07908,1.078337,1.077595,3,0,0,0,0.000061,up
1.079082,1.078342,1.077602,3,0,0,0,0.000062,up
1.079094,1.078355,1.077616,4,0,0,0,0.000062,up
1.079102,1.078372,1.077641,4,0,0,0,0.000062,up
1.079114,1.078403,1.077692,4,0,1,0,0.000063,down
1.079125,1.078431,1.077737,4,0,1,0,0.000064,down
1.078984,1.078491,1.077999,4,0,1,0,0.000067,down
1.078946,1.078526,1.078106,3,0,1,0,0.000069,down
1.078933,1.078539,1.078146,3,0,0,0,0.00007,down
1.078912,1.078547,1.078181,3,0,-1,0,0.000069,up
1.078901,1.078553,1.078206,2,0,-1,0,0.000067,down
1.0789,1.078555,1.078209,3,0,0,0,0.000064,down
1.078897,1.078558,1.078218,3,0,-1,0,0.000061,up
1.078909,1.078548,1.078188,2,0,-2,0,0.000056,up
1.078876,1.078538,1.0782,3,0,0,0,0.000053,down
1.07886,1.078524,1.078188,3,0,-1,0,0.000049,up
1.078828,1.078507,1.078186,3,0,-1,0,0.000044,up
1.07879,1.078495,1.0782,3,0,0,0,0.00004,down
1.078773,1.078485,1.078198,3,0,0,0,0.000037,down
1.078777,1.07849,1.078203,3,0,0,0,0.000034,down
1.078777,1.078491,1.078206,3,0,0,0,0.000031,down
1.078765,1.078499,1.078233,3,0,-1,0,0.000028,down
1.078791,1.078487,1.078183,2,0,-3,-1,0.000024,down
1.078822,1.078472,1.078122,2,0,-4,-1,0.000018,up
1.078821,1.07845,1.078078,2,0,-3,0,0.000012,up
1.078819,1.078424,1.07803,3,0,-4,-1,0.000004,up
