@relation 2017-03-27

@attribute 'RSI EXTREME SCALED' numeric
@attribute 'CCI CHANNEL BREAK SCALED' numeric
@attribute MACDIndicator numeric
@attribute bbSizeBand numeric
@attribute bbPricePosition numeric
@attribute Prediction {up,down,no}

@data
-2,0,-0.000002,0.000419,-65.948362,down
-1,0,-0.000006,0.000433,-50.593594,down
0,0,-0.00001,0.000417,-46.538039,down
0,0,-0.000013,0.000385,-43.654775,down
-1,0,-0.000017,0.000391,-80.813393,up
0,0,-0.00002,0.000372,-51.346915,up
0,0,-0.000022,0.00037,-41.640636,up
0,0,-0.000025,0.000363,-37.769757,up
0,-2,-0.000026,0.000353,-39.414785,up
0,0,-0.000027,0.000329,-2.126896,down
0,0,-0.000028,0.000306,-11.102873,up
0,-2,-0.000028,0.000266,0,no
0,0,-0.000028,0.000212,15.544479,down
0,0,-0.000027,0.000188,11.166304,down
0,0,-0.000026,0.000158,18.389547,up
0,0,-0.000025,0.000152,33.541926,up
0,0,-0.000024,0.000134,26.907663,up
0,0,-0.000023,0.000133,12.825624,up
0,0,-0.000022,0.000133,12.825624,up
0,0,-0.000021,0.000163,102.45447,down
1,0,-0.000018,0.000217,116.115471,down
0,0,-0.000016,0.000251,87.650098,down
0,0,-0.000013,0.000288,85.503819,down
0,0,-0.00001,0.000295,40.011496,up
0,0,-0.000007,0.00027,30.35476,up
0,0,-0.000005,0.000266,41.017245,down
0,0,-0.000003,0.000259,30.139653,down
0,0,-0.000001,0.000259,55.217397,down
0,0,0.000001,0.000253,57.813282,down
0,0,0.000003,0.000255,38.026425,down
0,0,0.000004,0.000247,-19.058079,down
0,0,0.000004,0.00027,-81.729322,down
0,0,0.000003,0.000285,-61.782917,down
0,0,0.000001,0.000319,-83.778235,down
0,0,-0.000002,0.000368,-90.643478,down
0,0,-0.000005,0.000426,-88.475046,down
0,0,-0.000009,0.000477,-79.582243,down
0,0,-0.000013,0.000524,-73.026107,down
-1,0,-0.000018,0.000587,-78.557754,up
-1,0,-0.000023,0.000665,-84.771305,up
-1,0,-0.000028,0.000708,-71.076772,up
0,0,-0.000033,0.000712,-46.317215,up
0,0,-0.000037,0.000701,-42.090545,up
0,0,-0.00004,0.000687,-22.122112,no
0,2,-0.000042,0.000677,-30.413566,no
0,0,-0.000044,0.000668,-43.743171,up
0,0,-0.000044,0.000633,1.105322,down
0,0,-0.000045,0.000577,-17.85391,down
0,1,-0.000045,0.000495,-3.030651,down
0,0,-0.000044,0.000403,-16.126066,down
0,0,-0.000044,0.000335,-18.197304,no
0,0,-0.000043,0.000306,-8.814932,up
0,0,-0.000042,0.000258,-19.020164,up
0,0,-0.000042,0.000234,-39.81172,up
0,0,-0.000041,0.000218,-10.994609,no
0,0,-0.000041,0.000211,0.473414,down
0,0,-0.000039,0.000229,76.7032,down
0,0,-0.000037,0.000227,7.914478,down
0,0,-0.000036,0.000226,-1.768631,no
0,0,-0.000035,0.000201,-15.930456,up
0,0,-0.000034,0.000187,-61.497546,up
0,0,-0.000033,0.000209,-80.227726,up
0,0,-0.000033,0.000214,-39.644923,no
0,0,-0.000032,0.000207,0,up
0,2,-0.000031,0.00021,27.658274,up
0,2,-0.000029,0.000218,66.552459,no
0,2,-0.000027,0.000197,16.235081,down
0,0,-0.000026,0.000202,-40.633413,down
0,0,-0.000024,0.000194,11.326822,up
0,0,-0.000022,0.000209,65.094873,no
0,0,-0.00002,0.000225,65.63209,up
0,0,-0.000018,0.000226,-4.877162,up
0,0,-0.000017,0.00024,-60.485619,up
0,0,-0.000016,0.00024,35.856685,down
0,0,-0.000014,0.000248,47.49539,down
0,0,-0.000012,0.000296,95.211064,down
0,0,-0.000009,0.000291,35.745375,down
0,0,-0.000007,0.000296,33.087533,down
0,0,-0.000005,0.000296,11.492456,down
0,0,-0.000004,0.000295,16.287571,down
0,0,-0.000003,0.000282,6.744175,down
0,0,-0.000002,0.000252,-4.767689,down
0,0,-0.000001,0.000238,-23.912722,up
0,0,-0.000002,0.000241,-39.896238,up
0,0,-0.000002,0.000259,-64.855681,up
0,0,-0.000003,0.000277,-69.747963,up
0,0,-0.000005,0.000292,-56.439124,up
0,0,-0.000006,0.000287,29.218496,down
0,0,-0.000005,0.000311,67.793898,down
0,0,-0.000004,0.000326,56.697075,down
0,0,-0.000001,0.000346,63.003412,no
0,0,0,0.000345,20.281337,up
0,0,0.000002,0.00032,-12.509165,up
0,0,0.000002,0.000329,-40.457736,up
0,0,0.000002,0.00033,20.011488,down
0,0,0.000004,0.000326,63.558936,down
0,0,0.000005,0.000341,52.84982,down
0,0,0.000007,0.000344,28.169985,up
0,0,0.000008,0.000348,26.147833,up
0,0,0.000009,0.000348,8.324239,up
0,0,0.000009,0.000351,23.635432,up
0,0,0.000009,0.000351,-16.231561,up
0,0,0.00001,0.00036,46.941049,down
0,0,0.000012,0.000406,89.057539,down
0,0,0.000015,0.000457,97.462945,down
0,0,0.000018,0.000439,57.850666,down
0,0,0.00002,0.000399,32.364617,down
0,0,0.000022,0.000395,-13.681852,no
0,0,0.000023,0.000395,6.587558,up
0,0,0.000023,0.000395,-3.293317,up
0,0,0.000023,0.000394,2.285127,up
0,0,0.000022,0.000391,-8.698668,up
0,0,0.000021,0.000376,-16.209494,up
0,0,0.00002,0.000335,6.574491,up
0,0,0.000019,0.000328,-1.220556,up
0,0,0.00002,0.000387,92.59739,up
0,0,0.000022,0.000433,78.368412,up
0,2,0.000025,0.000542,107.387202,up
0,2,0.00003,0.000625,90.294916,up
0,2,0.000035,0.000659,67.827098,down
0,0,0.00004,0.000732,82.358242,down
0,0,0.000045,0.000709,37.672251,down
0,0,0.000049,0.000741,58.4352,down
0,0,0.000054,0.000795,63.487178,down
0,0,0.000057,0.000808,31.562917,down
0,-2,0.000059,0.000806,1.11707,up
0,-2,0.000059,0.000798,11.649428,down
0,-2,0.000058,0.000774,-28.053912,up
0,-2,0.000055,0.000755,-21.986755,up
0,-2,0.000051,0.000734,-31.872153,up
0,-2,0.000049,0.000727,45.250629,up
0,-2,0.000047,0.000681,-10.430256,up
0,0,0.000045,0.000622,-14.791647,up
0,0,0.000044,0.000605,54.336112,up
0,0,0.000046,0.000658,98.82289,up
0,0,0.00005,0.00074,82.430551,down
0,0,0.000054,0.000797,69.111966,down
0,0,0.000059,0.00082,40.990853,down
0,0,0.000063,0.000874,60.765382,down
0,0,0.000068,0.000934,61.871284,down
0,0,0.000072,0.000965,45.677567,up
0,0,0.000075,0.000964,18.77015,up
0,0,0.000076,0.000964,3.93994,up
0,0,0.000076,0.000967,13.967204,up
0,0,0.000075,0.000968,20.238476,up
0,0,0.000077,0.001037,74.54369,up
0,0,0.000081,0.001143,80.825945,up
0,0,0.000087,0.001274,97.229006,down
0,0,0.000097,0.0014,92.086259,down
0,0,0.000106,0.00139,66.816919,up
0,0,0.000115,0.001462,62.672873,up
0,0,0.000124,0.001457,61.786757,up
0,0,0.000131,0.001391,49.588662,up
0,-2,0.000138,0.001402,51.197956,up
0,-2,0.000143,0.001432,42.466116,up
0,0,0.000148,0.001471,48.252171,up
0,0,0.000152,0.001486,39.970105,up
1,0,0.000157,0.001551,68.355096,up
1,0,0.000166,0.001829,98.089553,down
1,0,0.000177,0.001997,77.076618,down
0,0,0.000187,0.002042,56.426539,down
0,0,0.000197,0.002098,70.974251,down
0,0,0.000206,0.001977,44.673407,down
0,0,0.000212,0.001803,33.825655,up
0,0,0.000215,0.001568,14.984671,up
0,0,0.000214,0.001454,0.06878,up
0,0,0.000212,0.001385,27.152084,up
0,0,0.00021,0.001373,28.341595,up
0,0,0.000209,0.001442,59.858882,up
0,0,0.000214,0.001715,103.303861,down
0,0,0.00022,0.001843,76.819935,down
0,0,0.000226,0.001868,52.505192,down
0,0,0.000232,0.001874,57.093062,down
0,0,0.000237,0.001862,52.788701,down
0,0,0.000238,0.001727,-5.557961,up
0,0,0.000235,0.001605,5.046882,down
0,0,0.000231,0.00144,6.319416,down
0,0,0.000225,0.001374,-0.582053,down
0,0,0.000218,0.001374,-0.291158,down
