@relation 2017-06-02

@attribute 'RSI EXTREME SCALED' numeric
@attribute 'CCI CHANNEL BREAK SCALED' numeric
@attribute MACDIndicator numeric
@attribute bbSizeBand numeric
@attribute bbPricePosition numeric
@attribute Prediction {up,down,no}

@data
0,0,0.000096,0,?,down
0,0,0.000092,0.00075,-40,down
0,0,0.000087,0.000656,-20.32002,down
0,0,0.000081,0.000592,-19.425544,down
0,0,0.000074,0.000546,-19.764182,down
0,0,0.000066,0.000503,11.920791,down
0,0,0.000058,0.000519,-42.978305,down
0,0,0.000051,0.00057,-55.66977,down
0,-2,0.000043,0.000656,-64.736465,up
0,0,0.000036,0.000668,-43.71865,no
-1,0,0.000028,0.000874,-86.584499,up
-2,-2,0.00002,0.001041,-78.951404,up
-2,0,0.000013,0.00105,-42.339494,up
0,0,0.000007,0.001052,-39.258686,up
0,0,0.000002,0.001032,-26.479181,up
0,0,-0.000003,0.001013,-25.294309,up
0,0,-0.000005,0.000999,28.618702,down
0,0,-0.000007,0.000989,31.133792,down
0,0,-0.000009,0.001032,61.30818,down
0,0,-0.00001,0.001014,21.800992,down
0,0,-0.00001,0.000991,67.172567,down
0,0,-0.00001,0.001053,60.865193,down
0,0,-0.00001,0.00113,66.722398,up
0,0,-0.00001,0.001203,61.928303,up
0,0,-0.00001,0.001237,42.430304,up
0,0,-0.000011,0.001293,55.908619,up
0,0,-0.000012,0.001351,50.689052,up
0,0,-0.000012,0.001431,59.323959,up
0,0,-0.000012,0.00148,53.048791,up
0,0,-0.000012,0.001523,48.901438,up
0,0,-0.000011,0.001451,40.097663,no
0,0,-0.000011,0.001325,48.61035,up
0,0,-0.00001,0.001243,45.278705,up
0,0,-0.000009,0.00112,43.025854,up
0,0,-0.000007,0.000982,39.526042,down
0,0,-0.000006,0.000765,26.16,down
0,0,-0.000005,0.000689,23.227468,no
0,0,-0.000003,0.000597,-1.843297,up
0,0,-0.000002,0.000653,-82.196352,up
0,0,-0.000001,0.000592,-75.634036,up
0,0,-0.000001,0.000607,53.24,up
0,0,0,0.000607,42.206085,up
0,0,0.000002,0.000637,57.920668,no
0,0,0.000004,0.000649,41.11008,up
0,2,0.000007,0.000876,124.469862,down
0,0,0.000009,0.000946,-70.471864,up
0,0,0.000011,0.000944,18.321823,down
0,0,0.000014,0.000946,9.306569,down
0,1,0.000017,0.001043,73.547346,down
0,0,0.000019,0.001136,69.04341,down
0,0,0.000021,0.001178,48.063283,down
0,0,0.000023,0.001183,16.40317,down
0,0,0.000024,0.001195,24.779637,down
0,0,0.000024,0.001197,12.115056,down
0,0,0.000024,0.001198,11.101393,down
0,0,0.000022,0.001199,20.67672,up
0,0,0.00002,0.001277,-62.899311,up
0,0,0.000019,0.001271,23.753218,up
0,0,0.000016,0.001165,25.504428,up
0,0,0.000013,0.00106,-31.405051,up
0,0,0.000012,0.001058,1.796439,down
0,0,0.00001,0.001068,29.314252,down
0,0,0.00001,0.001076,22.032753,down
0,0,0.00001,0.00111,45.241293,down
0,2,0.00001,0.001212,90.87485,down
0,2,0.00001,0.001237,95.497893,down
0,2,0.000008,0.001379,81.432017,down
0,0,0.000007,0.001402,48.497255,down
0,0,0.000005,0.001452,46.283231,down
0,0,0,0.001556,63.573768,down
0,0,-0.000006,0.00159,36.224266,no
0,0,-0.000013,0.001575,14.034593,down
0,0,-0.000022,0.001574,21.860997,up
0,0,-0.000031,0.001573,33.573076,down
0,0,-0.00004,0.001567,34.961595,down
0,0,-0.000048,0.001597,46.450134,down
0,0,-0.000055,0.001365,59.469229,up
0,0,-0.00006,0.001384,54.772089,up
0,0,-0.000066,0.001385,48.235762,up
0,0,-0.000072,0.00117,27.44373,up
0,0,-0.000076,0.001,-1.400508,up
0,0,-0.000079,0.00089,0.449495,up
0,0,-0.000079,0.000761,52.024263,down
0,0,-0.000079,0.000702,59.72815,up
0,0,-0.000077,0.000735,53.501894,down
0,0,-0.000073,0.000816,76.468062,down
0,0,-0.00007,0.000817,10.164223,down
0,0,-0.000067,0.000801,19.719597,down
0,0,-0.000063,0.000786,21.886424,down
0,0,-0.00006,0.000798,30.082369,down
0,0,-0.000057,0.000772,19.678952,down
0,0,-0.000057,0.00065,-0.923323,up
0,0,-0.000058,0.000551,-13.437343,up
0,0,-0.000061,0.000505,-17.827026,up
0,0,-0.000062,0.000479,-37.157999,down
0,0,-0.000064,0.00048,-20.200937,down
0,0,-0.000064,0.00048,-25.819329,down
0,0,-0.000064,0.000514,-69.406308,down
0,0,-0.000063,0.00054,-61.268069,down
0,0,-0.000063,0.000551,-37.005376,down
0,0,-0.000063,0.000522,-29.486175,down
0,0,-0.000063,0.000501,-28.344781,no
0,0,-0.000062,0.0005,-29.213149,down
0,0,-0.000063,0.000487,-33.659177,up
0,0,-0.000064,0.000487,-56.462251,up
0,0,-0.000067,0.000384,-55.763402,up
0,0,-0.000068,0.000406,-58.684987,up
0,0,-0.000068,0.000402,-39.75232,up
0,0,-0.000068,0.000395,-49.906414,down
0,0,-0.000067,0.000346,-27.132636,down
0,0,-0.000064,0.000345,-87.46278,down
0,0,-0.000059,0.000338,-53.521082,down
0,0,-0.000055,0.000329,-43.499671,down
0,0,-0.000053,0.000338,-76.254307,down
0,0,-0.000051,0.000338,-47.607151,no
0,0,-0.00005,0.000304,-2.303844,down
0,0,-0.000049,0.000304,76.685096,down
0,2,-0.000049,0.000405,115.381207,down
0,2,-0.000049,0.000494,100.719165,down
0,2,-0.000049,0.000624,106.557822,down
0,0,-0.00005,0.000623,1.284157,down
0,0,-0.000053,0.000626,23.145441,down
0,0,-0.000058,0.000629,-19.85832,down
0,0,-0.000065,0.000633,-18.491958,up
0,0,-0.000075,0.000664,-54.688975,up
0,-2,-0.000084,0.000727,-71.433903,up
0,-2,-0.000092,0.000876,-97.907001,up
-1,-2,-0.0001,0.001025,-90.516126,up
0,-2,-0.000105,0.0013,-107.222046,up
0,-2,-0.000109,0.001523,-91.416864,up
0,-2,-0.000113,0.001721,-81.236861,up
0,-2,-0.000114,0.0019,-74.43884,up
0,0,-0.000113,0.001969,-48.192966,down
0,0,-0.00011,0.002082,-57.410014,down
0,0,-0.000106,0.002161,-49.920178,down
0,0,-0.0001,0.002245,-53.683122,down
0,0,-0.000094,0.002272,-48.379049,down
0,0,-0.000088,0.002209,-40.069381,down
0,0,-0.000084,0.002079,-31.456398,up
0,0,-0.000084,0.001821,-13.61723,up
0,0,-0.000085,0.001683,-0.237622,down
0,0,-0.000086,0.00148,-14.732,down
0,0,-0.000086,0.001308,-14.072272,down
0,0,-0.000085,0.001078,-11.963852,down
0,0,-0.000084,0.000876,-20.662198,down
0,0,-0.000085,0.000676,-34.895058,down
0,0,-0.000085,0.000558,-27.251699,down
0,0,-0.000085,0.000458,53.955248,down
0,0,-0.000084,0.000455,6.58784,down
0,0,-0.000084,0.000456,-6.145318,down
0,0,-0.000087,0.000454,-6.603782,up
0,0,-0.000093,0.000469,-56.502203,up
0,0,-0.000098,0.000457,-31.738564,up
0,-2,-0.000101,0.000545,-95.661772,up
0,-2,-0.000104,0.000636,-89.849566,up
0,0,-0.000106,0.00066,-54.887876,up
0,0,-0.000106,0.000651,-1.689075,up
0,0,-0.000104,0.000658,-28.273649,up
0,0,-0.000098,0.000667,-29.089184,up
0,0,-0.000091,0.000652,-37.282449,up
0,0,-0.000081,0.00058,-35.004228,up
0,0,-0.000069,0.000562,29.167369,up
0,0,-0.000057,0.000557,40.589162,up
0,0,-0.000044,0.000589,70.757412,up
0,0,-0.000032,0.000603,41.472717,up
0,0,-0.000019,0.000664,72.932602,up
1,0,-0.000006,0.000727,71.128317,up
1,0,0.000008,0.000724,46.694036,up
0,0,0.00002,0.000778,66.543005,up
0,0,0.000031,0.000814,51.473318,up
1,0,0.000044,0.000814,7.121928,up
1,0,0.00006,0.000849,54.552999,down
1,0,0.000078,0.000918,67.901403,up
