@relation Z_BB-2.8-2.2

@attribute 'RSI EXTREME SCALED' numeric
@attribute 'CCI CHANNEL BREAK SCALED' numeric
@attribute MACDIndicator numeric
@attribute bbSizeBand numeric
@attribute bbPricePosition numeric
@attribute Prediction {up,down,no}

@data
-2,0,0,0,?,up
0,0,0,0.000575,35.714286,up
0,0,0,0.000708,37.817743,down
0,0,0,0.000975,48.080875,down
0,0,0,0.001018,36.842695,down
0,0,0,0.001008,30.99597,down
1,0,0,0.000934,2.458745,down
0,0,0,0.001036,-64.702007,up
0,0,0,0.001192,-73.703,up
0,0,0,0.001278,-63.482299,up
0,0,0,0.001265,-38.698776,up
0,0,0,0.001212,1.965077,up
0,0,-0.000001,0.001189,25.406501,down
0,0,0,0.001162,21.291787,down
0,0,0.000003,0.001132,17.450264,down
0,0,0.000008,0.001106,18.261641,down
0,0,0.000013,0.001083,19.109196,down
0,0,0.000018,0.001061,18.424857,down
0,0,0.000023,0.001033,4.822288,down
0,0,0.000026,0.001007,-0.451475,down
0,0,0.000027,0.000957,0.652915,down
0,0,0.000029,0.000955,1.869627,down
1,0,0.00003,0.000953,0.46825,down
1,0,0.00003,0.000908,-1.000815,down
1,0,0.000029,0.000856,0,down
0,0,0.000026,0.000794,-9.589854,down
-2,0,0.000022,0.000782,-18.31717,down
-2,0,0.000018,0.000748,-15.485893,down
-2,0,0.00001,0.000701,-86.124984,up
-2,-2,0.000002,0.000636,-93.241192,down
-2,-2,-0.000007,0.000636,-89.668732,down
-2,-2,-0.000016,0.000711,-88.708075,up
-1,0,-0.000024,0.000723,-62.407404,down
-1,0,-0.000031,0.000732,-58.995629,down
-2,0,-0.000037,0.000749,-63.909066,down
-2,0,-0.000043,0.000746,-55.157001,down
-2,0,-0.000047,0.000726,-50.393579,up
-2,0,-0.000052,0.000703,-57.867937,up
-1,0,-0.000055,0.000682,-34.649008,down
-1,0,-0.000057,0.000671,-43.496015,up
0,0,-0.000059,0.000643,-39.565589,up
0,0,-0.000059,0.00059,-18.287697,up
0,0,-0.000059,0.000533,-30.488892,up
0,0,-0.000059,0.000469,-27.403782,up
0,0,-0.000056,0.000393,32.694109,down
0,0,-0.000053,0.000341,45.833384,down
0,0,-0.000049,0.000295,32.036341,down
0,0,-0.000044,0.000219,48.562708,down
0,0,-0.000042,0.000219,-21.294877,down
0,-2,-0.000041,0.000261,-108.413494,up
0,-2,-0.000042,0.000299,-96.877255,up
0,-2,-0.000044,0.000329,-84.631523,down
0,0,-0.000046,0.000356,-79.204919,down
0,0,-0.000047,0.000356,-25.509706,down
0,0,-0.000047,0.000357,-12.094514,down
0,0,-0.000047,0.000358,-17.133263,down
-1,-2,-0.00005,0.000489,-135.148186,up
-1,-2,-0.000055,0.000583,-107.922518,up
0,0,-0.000058,0.0006,-51.735542,up
-1,0,-0.000061,0.000619,-50.497323,no
-1,0,-0.000064,0.000649,-61.622383,up
0,0,-0.000066,0.000651,-39.946719,no
0,0,-0.000067,0.000648,-16.835097,down
0,0,-0.000065,0.000642,-7.969471,down
0,0,-0.000064,0.000604,-32.72693,no
0,0,-0.000063,0.000548,-29.449793,up
0,0,-0.000062,0.000497,-26.06464,up
0,0,-0.00006,0.000428,-17.794469,up
0,0,-0.000058,0.000389,6.431433,up
0,0,-0.000055,0.000385,-18.573517,up
0,0,-0.000053,0.000381,0.468185,up
1,2,-0.000045,0.000547,112.80756,down
0,2,-0.000036,0.000629,77.330002,down
0,1,-0.000026,0.000668,57.749684,down
0,0,-0.000017,0.000666,25.873717,down
0,0,-0.000012,0.00066,15.823949,up
0,0,-0.000007,0.000631,18.53732,down
0,0,-0.000004,0.00059,1.51272,down
0,0,-0.000002,0.000587,14.76492,down
0,0,-0,0.000577,4.021184,down
0,0,0.000001,0.000557,19.888081,down
0,0,0.000002,0.000543,-5.441835,down
0,0,0.000002,0.000541,-14.285291,down
0,0,0.000001,0.00054,-6.315568,down
0,0,-0,0.000528,-24.982776,down
-2,0,-0.000002,0.000525,-46.974491,down
