@relation v1

@attribute 'Candle body' numeric
@attribute 'Upper shadow' numeric
@attribute 'Lower shadow' numeric
@attribute 'is Bullish' numeric
@attribute RSI numeric
@attribute 'RSI SCALED' numeric
@attribute 'RSI EXTREME TOUCHED' numeric
@attribute 'RSI EXTREME SCALED' numeric
@attribute CCI numeric
@attribute 'CCI SCALED' numeric
@attribute 'CCI CHANNEL BREAK' numeric
@attribute 'CCI CHANNEL BREAK SCALED' numeric
@attribute MACDIndicator numeric
@attribute bbSizeBand numeric
@attribute bbPricePosition numeric
@attribute Prediction {up,down,no}

@data
0.00012,0.00022,0.00008,-1,1,1,-1,-2,0,0,0,0,0,0,?,up
0.0001,0.0001,0.0001,0,0,0,0,0,1,1,0,0,0,0.000575,40,up
0.00011,0.00011,0.00017,0,0,0,0,0,1,1,0,0,0,0.000708,42.355872,down
0.0002,0.0002,0.0002,0,0,0,0,0,2,2,0,0,0,0.000975,53.85058,down
0,0,0,-1,0,0,0,0,1,1,0,0,0,0.001018,41.263818,down
0,0,0,-1,0,0,0,0,1,1,0,0,0,0.001008,34.715486,down
0.00016,0.00001,0.00009,-1,4,4,1,1,0,0,0,0,0,0.000934,2.753794,down
0.00034,0.00001,0,-1,3,3,0,0,-1,-1,0,0,0,0.001036,-56.937766,up
0.00003,0.00009,0.00001,-1,3,3,0,0,-2,-2,0,0,0,0.001192,-64.85864,up
0.00002,0.00001,0,-1,3,3,0,0,-2,-2,0,0,0,0.001278,-55.864423,up
0.00012,0.00013,0.00012,0,3,3,0,0,-1,-1,0,0,0,0.001265,-34.054923,up
0.00023,0.00023,0.00024,0,3,3,0,0,0,0,0,0,0,0.001212,2.200886,up
0.00017,0.00018,0.00017,0,4,4,0,0,0,0,0,0,-0.000001,0.001189,28.455282,down
0.00001,0,0,-1,4,4,0,0,1,1,0,0,0,0.001162,23.846802,down
0.00003,0,0,-1,4,4,0,0,0,0,0,0,0.000003,0.001132,19.544295,down
0.00001,0.00001,0.00004,0,3,3,0,0,0,0,0,0,0.000008,0.001106,20.453038,down
0.00001,0.00001,0.00001,0,3,3,0,0,0,0,0,0,0.000013,0.001083,21.4023,down
0,0,0.00001,-1,3,3,0,0,0,0,0,0,0.000018,0.001061,20.635839,down
0.00008,0,0,-1,3,3,0,0,0,0,0,0,0.000023,0.001033,5.400963,down
0.00008,0.00001,0.00002,-1,3,3,0,0,0,0,0,0,0.000026,0.001007,-0.397298,down
0.00001,0.00002,0.00001,0,3,3,0,0,0,0,0,0,0.000027,0.000957,0.731265,down
0,0,0,-1,4,4,0,0,0,0,0,0,0.000029,0.000955,2.093983,down
0.00002,0,0,-1,4,4,1,1,0,0,0,0,0.00003,0.000953,0.52444,down
0.00008,0.00008,0.00008,0,4,4,1,1,0,0,0,0,0.00003,0.000908,-0.880718,down
0,0,0,-1,4,4,1,1,0,0,0,0,0.000029,0.000856,0,down
0.00006,0,0,-1,3,3,0,0,0,0,0,0,0.000026,0.000794,-8.439072,down
0.00005,0,0,-1,1,1,-1,-2,0,0,0,0,0.000022,0.000782,-16.11911,down
0.00006,0.00006,0.00006,0,2,2,-1,-2,0,0,0,0,0.000018,0.000748,-13.627586,down
0.00021,0,0.00001,-1,1,1,-1,-2,-2,-2,0,0,0.00001,0.000701,-75.789986,up
