@relation 2017-03-27

@attribute BBU numeric
@attribute BBM numeric
@attribute BBL numeric
@attribute RSI numeric
@attribute 'RSI EXTREME SCALED' numeric
@attribute CCI numeric
@attribute 'CCI CHANNEL BREAK SCALED' numeric
@attribute MACDIndicator numeric
@attribute Prediction {down,up,no}

@data
1.084947,1.084738,1.084529,1,-2,-2,0,-0.000002,down
1.084946,1.084729,1.084513,1,-1,-1,0,-0.000006,down
1.084925,1.084717,1.084509,2,0,-2,0,-0.00001,down
1.084896,1.084704,1.084512,2,0,-1,0,-0.000013,down
1.084884,1.084688,1.084492,1,-1,-2,0,-0.000017,up
1.084861,1.084675,1.08449,2,0,-2,0,-0.00002,up
1.084852,1.084667,1.084482,2,0,-1,0,-0.000022,up
1.08484,1.084658,1.084477,2,0,-1,0,-0.000025,up
1.084826,1.08465,1.084473,2,0,-1,0,-0.000026,up
1.084808,1.084644,1.084479,3,0,0,0,-0.000027,down
1.08479,1.084637,1.084484,2,0,0,0,-0.000028,up
1.084763,1.08463,1.084497,3,0,0,0,-0.000028,no
1.08473,1.084623,1.084517,3,0,0,0,-0.000028,down
1.084714,1.08462,1.084525,3,0,0,0,-0.000027,down
1.084694,1.084615,1.084537,3,0,0,0,-0.000026,up
1.084691,1.084615,1.084538,3,0,1,0,-0.000025,up
1.084679,1.084612,1.084545,3,0,0,0,-0.000024,up
1.084678,1.084612,1.084545,3,0,0,0,-0.000023,up
1.084678,1.084612,1.084545,3,0,1,0,-0.000022,up
1.084698,1.084617,1.084535,4,0,4,1,-0.000021,down
1.084733,1.084624,1.084515,5,1,5,1,-0.000018,down
1.084755,1.08463,1.084505,4,0,4,1,-0.000016,down
1.084781,1.084637,1.084493,4,0,3,1,-0.000013,down
1.084788,1.084641,1.084494,4,0,2,0,-0.00001,up
1.084784,1.084649,1.084514,4,0,1,0,-0.000007,up
1.084788,1.084655,1.084523,4,0,1,0,-0.000005,down
1.08479,1.084661,1.084532,4,0,1,0,-0.000003,down
1.084798,1.084669,1.084539,4,0,1,0,-0.000001,down
1.084803,1.084677,1.084551,4,0,2,0,0.000001,down
1.084809,1.084682,1.084554,4,0,1,0,0.000003,down
1.084807,1.084683,1.08456,3,0,0,0,0.000004,down
1.084816,1.08468,1.084545,3,0,-2,0,0.000004,down
1.08482,1.084678,1.084536,3,0,-2,0,0.000003,down
1.084833,1.084674,1.084514,3,0,-2,0,0.000001,down
1.084851,1.084667,1.084483,3,0,-3,-1,-0.000002,down
1.084872,1.084658,1.084445,2,0,-3,-1,-0.000005,down
1.084889,1.08465,1.084411,2,0,-3,-1,-0.000009,down
1.084904,1.084642,1.084379,2,0,-3,0,-0.000013,down
1.084924,1.084631,1.084337,1,-1,-2,0,-0.000018,up
1.084945,1.084612,1.084279,1,-1,-2,0,-0.000023,up
1.084945,1.084591,1.084238,1,-1,-3,0,-0.000028,up
1.084931,1.084575,1.084219,2,0,-2,0,-0.000033,up
1.084908,1.084558,1.084207,2,0,-1,0,-0.000037,up
1.08489,1.084546,1.084202,2,0,-1,0,-0.00004,no
1.084872,1.084533,1.084194,2,0,-1,0,-0.000042,no
1.08485,1.084516,1.084182,2,0,-1,0,-0.000044,up
1.084823,1.084507,1.08419,3,0,0,0,-0.000044,down
1.08478,1.084491,1.084203,3,0,0,0,-0.000045,down
1.084725,1.084477,1.08423,3,0,0,0,-0.000045,down
1.084664,1.084463,1.084261,3,0,0,0,-0.000044,down
1.084618,1.08445,1.084283,3,0,0,0,-0.000044,no
1.084597,1.084443,1.08429,3,0,0,0,-0.000043,up
1.084563,1.084434,1.084306,3,0,0,0,-0.000042,up
1.084543,1.084426,1.08431,3,0,-1,0,-0.000042,up
1.084531,1.084422,1.084313,3,0,0,0,-0.000041,no
1.084525,1.08442,1.084314,3,0,0,0,-0.000041,down
1.084537,1.084422,1.084307,4,0,2,0,-0.000039,down
1.084535,1.084421,1.084307,3,0,1,0,-0.000037,down
1.084535,1.084422,1.084309,3,0,0,0,-0.000036,no
1.084526,1.084426,1.084326,3,0,0,0,-0.000035,up
1.084521,1.084428,1.084334,3,0,-1,0,-0.000034,up
1.084529,1.084424,1.084319,3,0,-3,-1,-0.000033,up
1.08453,1.084423,1.084315,2,0,-2,0,-0.000033,no
1.084524,1.08442,1.084316,3,0,0,0,-0.000032,up
1.084526,1.084421,1.084316,3,0,1,0,-0.000031,up
1.084536,1.084428,1.084319,3,0,2,0,-0.000029,no
1.084523,1.084424,1.084325,3,0,1,0,-0.000027,down
1.084522,1.084421,1.08432,3,0,-1,0,-0.000026,down
1.084516,1.084419,1.084322,3,0,0,0,-0.000024,up
1.084526,1.084422,1.084318,3,0,2,0,-0.000022,no
1.084539,1.084426,1.084313,3,0,3,1,-0.00002,up
1.084538,1.084426,1.084313,3,0,1,0,-0.000018,up
1.084542,1.084423,1.084303,2,0,-2,0,-0.000017,up
1.084547,1.084427,1.084307,3,0,0,0,-0.000016,down
1.084555,1.084431,1.084307,3,0,3,0,-0.000014,down
1.084587,1.084439,1.084291,3,0,3,1,-0.000012,down
1.084583,1.084438,1.084293,3,0,2,0,-0.000009,down
1.084589,1.084441,1.084293,3,0,1,0,-0.000007,down
1.084591,1.084443,1.084295,3,0,0,0,-0.000005,down
1.084593,1.084446,1.084299,3,0,0,0,-0.000004,down
1.084591,1.08445,1.08431,3,0,0,0,-0.000003,down
1.084582,1.084456,1.08433,3,0,0,0,-0.000002,down
1.084578,1.084458,1.084339,3,0,0,0,-0.000001,up
1.084578,1.084458,1.084338,3,0,-1,0,-0.000002,up
1.084584,1.084454,1.084324,3,0,-3,0,-0.000002,up
1.084585,1.084447,1.084308,2,0,-3,-1,-0.000003,up
1.084589,1.084442,1.084296,2,0,-2,0,-0.000005,up
1.084592,1.084448,1.084304,3,0,0,0,-0.000006,down
1.08461,1.084455,1.084299,4,0,2,0,-0.000005,down
1.084621,1.084458,1.084294,3,0,2,0,-0.000004,down
1.084634,1.084461,1.084288,3,0,2,0,-0.000001,no
1.084638,1.084465,1.084292,3,0,0,0,0,up
1.08463,1.08447,1.08431,3,0,0,0,0.000002,up
1.084631,1.084466,1.084302,3,0,-1,0,0.000002,up
1.084632,1.084467,1.084302,3,0,0,0,0.000002,down
1.084629,1.084466,1.084304,3,0,2,0,0.000004,down
1.08464,1.08447,1.0843,3,0,2,0,0.000005,down
1.084644,1.084472,1.084299,3,0,1,0,0.000007,up
1.084649,1.084475,1.0843,3,0,1,0,0.000008,up
1.08465,1.084475,1.084301,3,0,0,0,0.000009,up
