@relation 2017-05-09

@attribute BBU numeric
@attribute BBM numeric
@attribute BBL numeric
@attribute RSI numeric
@attribute 'RSI EXTREME SCALED' numeric
@attribute CCI numeric
@attribute 'CCI CHANNEL BREAK SCALED' numeric
@attribute MACDIndicator numeric
@attribute Prediction {down,up,no}

@data
1.093078,1.09297,1.092862,3,0,-2,0,-0.000004,up
1.093056,1.092964,1.092873,3,0,0,0,-0.000005,up
1.093054,1.09296,1.092866,3,0,-1,0,-0.000007,up
1.093046,1.092957,1.092867,3,0,-1,0,-0.000008,up
1.093044,1.09296,1.092876,3,0,0,0,-0.000009,down
1.093044,1.09296,1.092876,3,0,0,0,-0.000009,down
1.093045,1.092961,1.092876,3,0,0,0,-0.000009,down
1.093045,1.092961,1.092877,3,0,0,0,-0.000009,down
1.093048,1.092963,1.092877,3,0,0,0,-0.000009,down
1.093041,1.092959,1.092877,3,0,0,0,-0.000008,down
1.093047,1.092952,1.092857,3,0,-4,-1,-0.000009,up
1.093047,1.092949,1.09285,3,0,-3,-1,-0.000009,up
1.093035,1.092942,1.09285,3,0,-1,0,-0.00001,up
1.093025,1.092936,1.092848,3,0,-2,0,-0.000011,up
1.093026,1.092935,1.092844,3,0,-1,0,-0.000012,up
1.093041,1.092939,1.092836,4,0,1,0,-0.000012,up
1.093045,1.092939,1.092834,3,0,2,0,-0.000011,up
1.093051,1.092942,1.092832,3,0,2,0,-0.00001,up
1.093074,1.092947,1.092821,4,0,3,1,-0.000008,down
1.093099,1.092957,1.092814,4,0,3,1,-0.000005,down
1.093117,1.092964,1.092812,4,0,3,1,-0.000003,down
1.093123,1.092968,1.092812,3,0,1,0,-0,up
1.093133,1.092974,1.092816,3,0,2,0,0.000002,up
1.093139,1.092979,1.092819,3,0,1,0,0.000004,down
1.093144,1.092982,1.09282,3,0,1,0,0.000006,down
1.093152,1.092986,1.09282,4,0,1,0,0.000007,down
1.093163,1.092991,1.092819,4,0,1,0,0.000009,down
1.093181,1.092998,1.092815,4,0,2,0,0.000011,down
1.093182,1.092999,1.092816,3,0,1,0,0.000012,down
1.093182,1.093002,1.092822,3,0,0,0,0.000013,down
1.093171,1.093006,1.092841,3,0,0,0,0.000012,down
1.093168,1.093007,1.092846,3,0,-1,0,0.000011,up
1.093163,1.093009,1.092855,3,0,-1,0,0.00001,up
1.093158,1.093011,1.092863,3,0,-2,0,0.000008,up
1.093153,1.093012,1.092871,2,0,-2,0,0.000006,up
1.093155,1.093007,1.09286,2,0,-2,0,0.000004,up
1.093155,1.093004,1.092854,2,0,-1,0,0.000002,up
1.093155,1.093003,1.09285,3,0,-1,0,0,up
1.09315,1.093001,1.092852,3,0,0,0,-0.000001,up
1.093139,1.092996,1.092853,3,0,0,0,-0.000001,up
1.093132,1.092994,1.092856,3,0,1,0,-0.000001,up
1.093159,1.093,1.092841,3,0,2,0,0,down
1.093157,1.092999,1.092842,3,0,1,0,0.000001,no
1.09316,1.093001,1.092841,3,0,1,0,0.000003,up
1.093164,1.093002,1.09284,3,0,1,0,0.000004,up
1.093167,1.093003,1.092839,3,0,1,0,0.000006,up
1.093165,1.093003,1.09284,4,0,1,0,0.000007,up
1.093152,1.092999,1.092846,4,0,1,0,0.000008,up
1.093159,1.093002,1.092845,4,0,1,0,0.000009,down
1.093169,1.093006,1.092843,4,0,2,0,0.00001,down
1.093187,1.093015,1.092844,4,0,2,0,0.000012,down
1.093197,1.093025,1.092854,4,0,2,0,0.000014,down
1.093198,1.093032,1.092866,4,0,1,0,0.000015,down
1.093191,1.093039,1.092886,3,0,0,0,0.000015,down
1.093181,1.093044,1.092906,3,0,0,0,0.000015,no
1.093172,1.09305,1.092929,3,0,0,0,0.000015,down
1.093163,1.093055,1.092947,3,0,0,0,0.000015,no
1.093153,1.093058,1.092963,2,0,0,0,0.000014,up
1.093153,1.093059,1.092965,3,0,0,0,0.000014,up
1.093146,1.093061,1.092976,3,0,-1,0,0.000013,up
1.093146,1.093061,1.092976,3,0,-2,0,0.000012,down
1.093129,1.093056,1.092983,3,0,-1,0,0.000011,down
1.093146,1.093061,1.092976,3,0,1,0,0.000011,down
1.093155,1.093065,1.092974,3,0,3,1,0.000011,down
1.093163,1.093068,1.092972,3,0,2,0,0.000011,down
1.093176,1.093061,1.092947,2,0,-2,0,0.000011,down
1.093201,1.093053,1.092905,2,0,-4,-1,0.000009,down
1.093216,1.093046,1.092876,2,0,-4,-1,0.000006,down
1.093217,1.09304,1.092863,3,0,-2,0,0.000003,down
1.09323,1.093029,1.092828,2,0,-3,-1,0,down
