@relation '2017-04-01 — kopia'

@attribute BBU numeric
@attribute BBM numeric
@attribute BBL numeric
@attribute RSI numeric
@attribute 'RSI EXTREME SCALED' numeric
@attribute CCI numeric
@attribute 'CCI CHANNEL BREAK SCALED' numeric
@attribute MACDIndicator numeric
@attribute Prediction {up,down,no}

@data
1.055303,1.055186,1.055069,3,0,1,0,-0.000062,up
1.055299,1.055186,1.055072,3,0,2,0,-0.000057,down
1.05532,1.05519,1.055059,4,0,4,1,-0.000052,down
1.055355,1.055198,1.05504,4,0,4,1,-0.000046,down
1.055389,1.055208,1.055028,4,0,4,1,-0.00004,down
1.055407,1.055215,1.055023,4,0,2,0,-0.000034,down
1.055407,1.055223,1.055039,4,0,1,0,-0.00003,down
1.055407,1.055228,1.05505,3,0,0,0,-0.000025,up
1.055409,1.055232,1.055055,3,0,0,0,-0.000022,up
1.055405,1.055236,1.055067,3,0,0,0,-0.00002,up
1.055403,1.055241,1.05508,4,0,0,0,-0.000018,no
1.055399,1.055246,1.055094,3,0,0,0,-0.000016,up
1.055394,1.055253,1.055112,3,0,0,0,-0.000014,down
1.055397,1.055257,1.055116,4,0,0,0,-0.000012,down
1.055388,1.05526,1.055133,3,0,0,0,-0.000011,down
1.05538,1.055265,1.055151,3,0,0,0,-0.00001,down
1.055376,1.055268,1.055161,3,0,0,0,-0.000009,down
1.05537,1.055272,1.055174,3,0,0,0,-0.000008,down
1.055371,1.055271,1.055171,3,0,-1,0,-0.000007,down
1.055378,1.055268,1.055159,2,0,-2,0,-0.000008,down
1.055382,1.055267,1.055151,2,0,-2,0,-0.000008,no
1.05538,1.055263,1.055146,2,0,-2,0,-0.000008,up
1.055376,1.055257,1.055139,3,0,-2,0,-0.000009,up
1.055367,1.055247,1.055128,2,0,-2,0,-0.00001,up
1.055342,1.055238,1.055133,3,0,-3,0,-0.000011,up
1.055323,1.055231,1.055139,3,0,-1,0,-0.000012,up
1.05532,1.05523,1.05514,3,0,0,0,-0.000012,down
1.05532,1.05523,1.05514,3,0,0,0,-0.000012,down
1.055318,1.055228,1.055139,3,0,0,0,-0.000011,up
1.055319,1.05523,1.05514,3,0,0,0,-0.000011,up
1.055315,1.055227,1.05514,3,0,0,0,-0.000011,up
1.055315,1.055224,1.055132,2,0,-2,0,-0.000011,up
1.05531,1.055219,1.055128,3,0,-2,0,-0.000011,up
1.055331,1.055222,1.055113,3,0,3,1,-0.00001,up
1.055373,1.05523,1.055087,4,0,5,1,-0.000007,up
1.055465,1.055244,1.055023,4,0,5,1,-0.000003,down
1.055502,1.055254,1.055005,4,0,4,1,0.000002,up
1.055523,1.055261,1.054999,4,0,3,1,0.000006,up
1.055585,1.055278,1.05497,4,0,3,1,0.000011,up
1.055616,1.055293,1.05497,4,0,3,0,0.000017,up
1.055652,1.055309,1.054967,4,0,2,0,0.000022,no
1.055704,1.055329,1.054954,4,0,2,0,0.000028,down
1.055752,1.055351,1.054949,4,0,2,0,0.000033,down
1.055794,1.055376,1.054958,4,0,2,0,0.000039,down
1.055804,1.055395,1.054985,4,0,1,0,0.000044,down
1.055811,1.055411,1.055011,4,0,1,0,0.000048,down
1.055811,1.055422,1.055032,4,0,0,0,0.00005,down
1.055813,1.055434,1.055055,4,0,0,0,0.000052,down
1.055802,1.055443,1.055084,3,0,0,0,0.000051,down
